Rating,Time,Year,Plays,Skips
80,255,1980,16,3
40,211,1980,13,2
40,238,1980,11,4
60,312,1980,8,3
40,255,1980,16,9
60,266,1980,16,4
40,245,1980,10,1
40,317,1980,15,4
40,215,1980,12,4
40,210,1980,14,8
40,185,2007,9,5
60,364,2003,23,0
60,335,2004,27,0
60,209,2007,30,0
80,258,2010,19,0
60,279,2010,24,0
60,315,2010,31,0
60,173,2007,21,1
40,291,2000,19,2
40,233,2000,15,3
60,268,2007,6,0
40,179,2007,4,0
40,187,2007,7,0
60,322,2006,45,0
60,229,2010,38,3
80,192,2010,41,0
80,176,2008,40,0
80,192,2008,38,1
40,195,2008,28,2
80,199,2006,37,0
60,280,2000,26,1
80,250,2006,32,0
40,211,2011,10,0
60,261,2011,0,0
60,187,2009,22,2
40,177,2007,11,1
40,252,2009,21,0
60,185,2009,20,7
40,290,2001,11,6
40,292,2001,8,5
60,252,2001,13,5
40,233,2001,8,5
40,208,2006,15,1
40,307,1986,2,1
40,243,1995,5,1
40,249,1990,10,1
40,151,2000,14,4
40,250,2011,16,0
40,220,2008,18,0
60,238,2008,21,0
40,308,1999,5,3
40,467,2006,14,1
40,303,1997,9,3
40,360,1978,14,7
60,258,2010,24,5
60,203,2009,28,0
80,190,2009,38,1
60,205,2005,19,1
80,213,2005,13,2
40,232,2009,29,5
40,230,1991,21,0
60,289,2004,13,4
40,212,2007,18,4
80,182,2009,51,0
40,234,2009,17,3
40,151,2009,12,3
40,273,2009,13,4
80,164,2010,40,1
60,225,2008,22,2
60,218,2008,26,1
60,178,2008,21,4
80,216,2008,42,2
60,182,2008,40,0
80,142,2008,34,0
40,279,2011,21,1
40,302,2011,17,3
40,246,2011,15,0
80,151,2011,37,0
60,422,2011,37,0
60,221,2011,28,0
40,257,2011,17,0
80,320,2011,28,0
60,256,2011,20,0
80,247,2011,44,1
80,213,2011,28,0
40,213,2011,20,0
60,265,2011,27,3
40,197,2012,4,0
40,264,2012,6,1
60,286,2007,9,0
60,220,2007,17,0
60,218,2006,23,0
80,279,2006,32,2
60,205,2007,15,1
80,237,2007,17,0
60,154,2007,16,0
